areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
N92000002,Northern Ireland,nation,2021-05-31,58,0
N92000002,Northern Ireland,nation,2021-05-30,36,0
N92000002,Northern Ireland,nation,2021-05-29,59,0
N92000002,Northern Ireland,nation,2021-05-28,70,1
N92000002,Northern Ireland,nation,2021-05-27,74,0
N92000002,Northern Ireland,nation,2021-05-26,81,0
N92000002,Northern Ireland,nation,2021-05-25,66,0
N92000002,Northern Ireland,nation,2021-05-24,74,0
N92000002,Northern Ireland,nation,2021-05-23,57,0
N92000002,Northern Ireland,nation,2021-05-22,63,0
N92000002,Northern Ireland,nation,2021-05-21,80,0
N92000002,Northern Ireland,nation,2021-05-20,81,0
N92000002,Northern Ireland,nation,2021-05-19,101,0
N92000002,Northern Ireland,nation,2021-05-18,106,1
N92000002,Northern Ireland,nation,2021-05-17,99,0
N92000002,Northern Ireland,nation,2021-05-16,68,2
N92000002,Northern Ireland,nation,2021-05-15,64,0
N92000002,Northern Ireland,nation,2021-05-14,55,0
N92000002,Northern Ireland,nation,2021-05-13,89,1
N92000002,Northern Ireland,nation,2021-05-12,101,0
N92000002,Northern Ireland,nation,2021-05-11,106,1
N92000002,Northern Ireland,nation,2021-05-10,107,0
N92000002,Northern Ireland,nation,2021-05-09,78,0
N92000002,Northern Ireland,nation,2021-05-08,90,0
N92000002,Northern Ireland,nation,2021-05-07,78,0
N92000002,Northern Ireland,nation,2021-05-06,75,1
N92000002,Northern Ireland,nation,2021-05-05,96,0
N92000002,Northern Ireland,nation,2021-05-04,99,0
N92000002,Northern Ireland,nation,2021-05-03,87,0
N92000002,Northern Ireland,nation,2021-05-02,65,0
N92000002,Northern Ireland,nation,2021-05-01,62,1
N92000002,Northern Ireland,nation,2021-04-30,85,0
N92000002,Northern Ireland,nation,2021-04-29,97,1
N92000002,Northern Ireland,nation,2021-04-28,100,0
N92000002,Northern Ireland,nation,2021-04-27,108,1
N92000002,Northern Ireland,nation,2021-04-26,103,1
N92000002,Northern Ireland,nation,2021-04-25,79,0
N92000002,Northern Ireland,nation,2021-04-24,73,1
N92000002,Northern Ireland,nation,2021-04-23,75,0
N92000002,Northern Ireland,nation,2021-04-22,86,2
N92000002,Northern Ireland,nation,2021-04-21,110,3
N92000002,Northern Ireland,nation,2021-04-20,125,0
N92000002,Northern Ireland,nation,2021-04-19,128,1
N92000002,Northern Ireland,nation,2021-04-18,74,0
N92000002,Northern Ireland,nation,2021-04-17,82,1
N92000002,Northern Ireland,nation,2021-04-16,100,1
N92000002,Northern Ireland,nation,2021-04-15,116,1
N92000002,Northern Ireland,nation,2021-04-14,148,2
N92000002,Northern Ireland,nation,2021-04-13,103,1
N92000002,Northern Ireland,nation,2021-04-12,113,0
N92000002,Northern Ireland,nation,2021-04-11,87,1
N92000002,Northern Ireland,nation,2021-04-10,89,1
N92000002,Northern Ireland,nation,2021-04-09,129,2
N92000002,Northern Ireland,nation,2021-04-08,121,1
N92000002,Northern Ireland,nation,2021-04-07,108,2
N92000002,Northern Ireland,nation,2021-04-06,93,1
N92000002,Northern Ireland,nation,2021-04-05,55,2
N92000002,Northern Ireland,nation,2021-04-04,36,1
N92000002,Northern Ireland,nation,2021-04-03,49,1
N92000002,Northern Ireland,nation,2021-04-02,77,2
N92000002,Northern Ireland,nation,2021-04-01,94,0
N92000002,Northern Ireland,nation,2021-03-31,122,0
N92000002,Northern Ireland,nation,2021-03-30,107,3
N92000002,Northern Ireland,nation,2021-03-29,134,2
N92000002,Northern Ireland,nation,2021-03-28,92,1
N92000002,Northern Ireland,nation,2021-03-27,121,1
N92000002,Northern Ireland,nation,2021-03-26,134,1
N92000002,Northern Ireland,nation,2021-03-25,167,0
N92000002,Northern Ireland,nation,2021-03-24,166,0
N92000002,Northern Ireland,nation,2021-03-23,148,0
N92000002,Northern Ireland,nation,2021-03-22,174,2
N92000002,Northern Ireland,nation,2021-03-21,107,3
N92000002,Northern Ireland,nation,2021-03-20,122,0
N92000002,Northern Ireland,nation,2021-03-19,123,1
N92000002,Northern Ireland,nation,2021-03-18,169,2
N92000002,Northern Ireland,nation,2021-03-17,144,1
